GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos-spring,pos.pojo,BrandPojo,5,21,0,0,2,8,1,6,1,6
pos-spring,pos.pojo,InventoryPojo,4,27,0,0,2,11,1,8,1,8
pos-spring,pos.pojo,OrderPojo,4,23,0,0,2,9,1,6,1,6
pos-spring,pos.pojo,ProductPojo,4,48,0,0,2,20,1,14,1,14
pos-spring,pos.pojo,OrderItemPojo,4,34,0,0,2,14,1,10,1,10
pos-spring,pos.controller,InventoryApiController,67,3,0,0,21,1,7,1,7,1
pos-spring,pos.controller,OrderItemApiController,59,3,0,0,18,1,6,1,6,1
pos-spring,pos.controller,UIController,12,3,0,0,6,1,6,1,6,1
pos-spring,pos.controller,InvoiceApiController,68,3,2,0,14,1,5,1,4,1
pos-spring,pos.controller,ProductApiController,69,3,0,0,22,1,8,1,8,1
pos-spring,pos.controller,OrderApiController,50,3,0,0,15,1,5,1,5,1
pos-spring,pos.controller,BrandApiController,69,3,0,0,22,1,8,1,8,1
pos-spring,pos.controller,RestControllerAdvice,67,3,4,0,12,1,3,1,1,1
pos-spring,pos.dao,AbstractDao,9,10,0,0,2,2,2,2,2,2
pos-spring,pos.dao,BrandDao,0,152,0,8,0,32,0,15,0,11
pos-spring,pos.dao,ProductDao,0,177,0,10,0,40,0,17,0,12
pos-spring,pos.dao,OrderItemDao,0,256,0,20,0,54,0,21,0,11
pos-spring,pos.dao,InventoryDao,0,114,0,4,0,29,0,12,0,10
pos-spring,pos.dao,OrderDao,0,63,0,2,0,15,0,7,0,6
pos-spring,pos.model,ProductUpdateForm,0,45,0,0,0,19,0,13,0,13
pos-spring,pos.model,BrandInsertForm,0,17,0,0,0,7,0,5,0,5
pos-spring,pos.model,InventoryInsertForm,0,17,0,0,0,7,0,5,0,5
pos-spring,pos.model,OrderItemDataList,69,0,2,0,23,0,11,0,10,0
pos-spring,pos.model,ProductInsertForm,0,38,0,0,0,16,0,11,0,11
pos-spring,pos.model,OrderItemInsertForm,0,31,0,0,0,13,0,9,0,9
pos-spring,pos.model,OrderData,3,24,0,0,1,10,1,6,1,6
pos-spring,pos.model,BrandData,0,24,0,0,0,10,0,7,0,7
pos-spring,pos.model,OrderItemData,12,26,0,0,4,12,4,7,4,7
pos-spring,pos.model,OrderItemUpdateForm,0,24,0,0,0,10,0,7,0,7
pos-spring,pos.model,InventoryData,6,25,0,0,2,11,2,7,2,7
pos-spring,pos.model,ProductData,18,34,0,0,6,16,6,9,6,9
pos-spring,pos.model,SalesReportForm,23,31,0,0,1,13,1,9,1,9
pos-spring,pos.model,InventoryReport,34,0,0,0,14,0,7,0,7,0
pos-spring,pos.model,SalesReport,37,25,0,0,14,7,9,1,9,1
pos-spring,pos.model,InventoryUpdateForm,0,17,0,0,0,7,0,5,0,5
pos-spring,pos.services,OrderItemServices,88,554,19,33,9,109,14,27,0,15
pos-spring,pos.services,OrderServices,16,91,2,4,5,22,2,8,1,6
pos-spring,pos.services,InvoiceServices,256,148,18,16,55,19,21,2,4,2
pos-spring,pos.services,BrandServices,69,416,7,33,6,83,7,29,0,16
pos-spring,pos.services,InventoryServices,82,409,10,36,12,88,9,27,0,13
pos-spring,pos.services,ProductServices,75,733,17,57,7,137,17,36,0,16
pos-spring,pos.services,ApiException,0,4,0,0,0,2,0,1,0,1
pos-spring,pos.util,StringUtil,15,6,5,1,2,1,5,1,2,1
pos-spring,pos.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
pos-spring,pos.spring,ControllerConfig,4,111,0,0,2,25,1,7,1,7
pos-spring,pos.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
pos-spring,pos.spring,DbConfig,0,129,0,0,0,29,0,4,0,4
